Term,Stamm,Sprache,Zeitraum
മലയാളം,മല,Malayalam,1200 CE - present (disputed)
മലയാളം,അളം,Malayalam,1200 CE - present (disputed)
മലയാളം,ആൾ,Malayalam,1200 CE - present (disputed)
മലയാളം,-അം,Malayalam,1200 CE - present (disputed)
അമ്മ,*amma,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
അച്ഛൻ,आर्य,Sanskrit,1500 BCE - present (liturgical/classical)
നായ,*naH-ay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
രാത്രി,रात्रि,Sanskrit,1500 BCE - present (liturgical/classical)
എലി,*eli,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മഴ,*maẓay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പുസ്തകം,पुस्तक,Sanskrit,1500 BCE - present (liturgical/classical)
ഗൃഹം,गृह,Sanskrit,1500 BCE - present (liturgical/classical)
വീട്,*wīṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഹിമം,हिम,Sanskrit,1500 BCE - present (liturgical/classical)
കൂട്,*kūṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മരം,*maram,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പക്ഷി,पक्ष,Sanskrit,1500 BCE - present (liturgical/classical)
വില്ല്,*wil,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
നെല്ല്,*nel,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
യോശുവ,יְהוֹשֻׁעַ,Hebrew,900 BCE - 500 CE
കാപ്പി,coffee,English,1550 CE - present
സഞ്ചാരം,संचार,Hindi,not available
ലക്ഷം,लक्ष,Sanskrit,1500 BCE - present (liturgical/classical)
ചെറുനാരങ്ങ,ചെറു,Malayalam,1200 CE - present (disputed)
ചെറുനാരങ്ങ,നാരങ്ങ,Malayalam,1200 CE - present (disputed)
കർണ്ണം,कर्ण,Sanskrit,1500 BCE - present (liturgical/classical)
ഇടിയപ്പം,ഇടി,Malayalam,1200 CE - present (disputed)
ഇടിയപ്പം,അപ്പം,Malayalam,1200 CE - present (disputed)
സംസ്കൃതം,संस्कृतम्,Sanskrit,1500 BCE - present (liturgical/classical)
വഴുതനങ്ങ,വഴുതന,Malayalam,1200 CE - present (disputed)
വഴുതനങ്ങ,കായ,Malayalam,1200 CE - present (disputed)
ജലം,जल,Sanskrit,1500 BCE - present (liturgical/classical)
ഈ,*iH,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
സാമ്രാജ്യം,साम्राज्य,Sanskrit,1500 BCE - present (liturgical/classical)
പശു,पशु,Sanskrit,1500 BCE - present (liturgical/classical)
ജനനം,जन्म,Sanskrit,1500 BCE - present (liturgical/classical)
ഭാഷ,भाषा,Sanskrit,1500 BCE - present (liturgical/classical)
ലിംഗം,लिङ्ग,Sanskrit,1500 BCE - present (liturgical/classical)
ആ,*aH,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
രാജാവ്,राजन्,Sanskrit,1500 BCE - present (liturgical/classical)
രാജാവ്,*Hrā́ȷ́ā,Proto-Indo-Aryan,2000 BCE - 1500 BCE
രാജാവ്,*Hrā́ȷ́ā,Proto-Indo-Iranian,2200 BCE - 1800 BCE
രാജാവ്,*h₃rḗǵs,Proto-Indo-European,4500 BCE - 2500 BCE
ദിവസം,दिवस,Sanskrit,1500 BCE - present (liturgical/classical)
നിമിഷം,निमिष,Sanskrit,1500 BCE - present (liturgical/classical)
മാസം,मास,Sanskrit,1500 BCE - present (liturgical/classical)
മേശ,mesa,Portuguese,1516 CE - present
മേശ,mesa,Old Portuguese,870 CE - 1400 CE
മേശ,mēnsa,Latin,700 BCE - 500 CE
വാഴപ്പഴം,വാഴ,Malayalam,1200 CE - present (disputed)
വാഴപ്പഴം,പഴം,Malayalam,1200 CE - present (disputed)
ഹൃദയം,हृदय,Sanskrit,1500 BCE - present (liturgical/classical)
മാംസം,मांस,Sanskrit,1500 BCE - present (liturgical/classical)
ഒന്ന്,*onṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മത്സ്യം,मत्स्य,Sanskrit,1500 BCE - present (liturgical/classical)
മീൻ,*mīn,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
സ്ത്രീ,स्त्री,Sanskrit,1500 BCE - present (liturgical/classical)
കണ്ണ്,*kaṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
തടാകം,तटाक,Sanskrit,1500 BCE - present (liturgical/classical)
കാർ,*kār,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പോകുക,*pō-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പന്നി,*panṯi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
സിംഹം,सिंह,Sanskrit,1500 BCE - present (liturgical/classical)
തല,*talay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഞായറാഴ്ച,ഞായര്‍,Malayalam,1200 CE - present (disputed)
ഞായറാഴ്ച,ആഴ്ച,Malayalam,1200 CE - present (disputed)
വില,*wil,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
യേശു,یشوع,Persian,1000 CE - present
യേശു,ישוע,Aramaic,not available
യേശു,ישוע,Hebrew,900 BCE - 500 CE
ചേട്ട,श्रेष्ठिन्,Sanskrit,1500 BCE - present (liturgical/classical)
നെയ്യ്,*ney,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പേര്,*picar,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഞാൻ,*yāṉ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഇത്,*ī,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ക്ലാസ്,class,English,1550 CE - present
അധ്യാപകൻ,अध्यापक,Sanskrit,1500 BCE - present (liturgical/classical)
വിദ്യാർത്ഥി,विद्यार्थिन्,Sanskrit,1500 BCE - present (liturgical/classical)
വേദന,वेदना,Sanskrit,1500 BCE - present (liturgical/classical)
എന്ത്,*yĀ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
നീ,*nīn,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
അക്ഷരം,अक्षर,Sanskrit,1500 BCE - present (liturgical/classical)
ക്രിയ,क्रिया,Sanskrit,1500 BCE - present (liturgical/classical)
ചരിത്രം,चरित्र,Sanskrit,1500 BCE - present (liturgical/classical)
ശബ്ദകോശം,शब्दकोश,Sanskrit,1500 BCE - present (liturgical/classical)
നരകം,नरक,Sanskrit,1500 BCE - present (liturgical/classical)
നാഗം,नाग,Sanskrit,1500 BCE - present (liturgical/classical)
പാമ്പ്,*pāmpu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഇന്ദ്രൻ,इन्द्र,Sanskrit,1500 BCE - present (liturgical/classical)
നാമവിശേഷണം,നാമം,Malayalam,1200 CE - present (disputed)
നാമവിശേഷണം,വിശേഷണം,Malayalam,1200 CE - present (disputed)
വ്യാകരണം,व्याकरण,Sanskrit,1500 BCE - present (liturgical/classical)
വിശേഷണം,विशेषण,Sanskrit,1500 BCE - present (liturgical/classical)
ബഹുവചനം,बहुवचन,Sanskrit,1500 BCE - present (liturgical/classical)
ക്രിയാവിശേഷണം,क्रियाविशेषण,Sanskrit,1500 BCE - present (liturgical/classical)
ഉപസർഗം,उपसर्ग,Sanskrit,1500 BCE - present (liturgical/classical)
പ്രത്യയം,प्रत्यय,Sanskrit,1500 BCE - present (liturgical/classical)
അവ്യയം,अव्यय,Sanskrit,1500 BCE - present (liturgical/classical)
മാർജ്ജാരൻ,मार्जार,Sanskrit,1500 BCE - present (liturgical/classical)
പർവ്വതം,पर्वत,Sanskrit,1500 BCE - present (liturgical/classical)
പര്യായം,पर्याय,Sanskrit,1500 BCE - present (liturgical/classical)
കല്ല്,*kal,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കാലം,काल,Sanskrit,1500 BCE - present (liturgical/classical)
പല്ല്,*pal,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
വിജ്ഞാനശാസ്ത്രം,വിജ്ഞാനം,Malayalam,1200 CE - present (disputed)
വിജ്ഞാനശാസ്ത്രം,ശാസ്‌ത്രം,Malayalam,1200 CE - present (disputed)
കൊടുങ്കാറ്റ്,കൊടും,Malayalam,1200 CE - present (disputed)
കൊടുങ്കാറ്റ്,കാറ്റ്,Malayalam,1200 CE - present (disputed)
ശക്തി,शक्ति,Sanskrit,1500 BCE - present (liturgical/classical)
വനം,वन,Sanskrit,1500 BCE - present (liturgical/classical)
പുലി,*puli,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കായ,*kāy,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മാങ്ങ,*maṯ-kāy,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മാങ്ങ,മാവ്,Malayalam,1200 CE - present (disputed)
മാങ്ങ,കായ,Malayalam,1200 CE - present (disputed)
പ്ലാവ്,*pal-acV,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ആൽമരം,*āl,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ആൽമരം,ആൽ,Malayalam,1200 CE - present (disputed)
